nan,nan,nan,nan,nan,nan,nan,nan,0.8905,0.8695,0.9209,1.0289,1.1964,1.4374,1.7458,2.0645,2.3039,2.4070,2.3759,2.2477,2.0660,1.8656,1.6674,1.4811,1.3111,1.1726,1.1124,1.1774,1.3645,1.6405,1.9744,2.3345,2.6649,2.8670,2.8460,2.6094,2.2650,1.9116,1.5864,1.2991,1.0865,0.9998,1.0201,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,1.4332,1.1942,1.0832,1.0692,1.1257,1.2428,1.4274,1.6796,1.9547,2.1659,2.2503,2.2097,2.0835,1.9155,1.7385,1.5699,1.4162,1.2798,1.1730,1.1362,1.2146,1.4125,1.7069,2.0713,2.4676,2.8227,3.0223,2.9706,2.6827,2.2730,1.8505,1.4715,1.1735,1.0016,0.9600,0.9928,1.0451,1.0922,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,2.3615,1.9065,1.5741,1.3678,1.2724,1.2626,1.3195,1.4395,1.6224,1.8358,2.0035,2.0649,2.0198,1.9041,1.7568,1.6061,1.4665,1.3433,1.2399,1.1689,1.1623,1.2574,1.4663,1.7802,2.1768,2.6054,2.9711,3.1478,3.0460,2.6919,2.2109,1.7310,1.3341,1.0696,0.9504,0.9365,0.9705,1.0161,1.0585,1.0926,nan,nan,nan,nan
nan,nan,nan,nan,nan,3.3179,2.8137,2.3575,1.9797,1.6987,1.5202,1.4339,1.4220,1.4735,1.5839,1.7308,1.8559,1.9044,1.8691,1.7744,1.6505,1.5211,1.3992,1.2913,1.2054,1.1578,1.1742,1.2795,1.4906,1.8126,2.2258,2.6669,3.0243,3.1668,3.0120,2.5983,2.0693,1.5758,1.2117,1.0054,0.9287,0.9270,0.9572,0.9971,1.0367,1.0710,1.0981,nan,nan,nan
nan,nan,nan,nan,3.8348,3.5030,3.1081,2.7092,2.3423,2.0292,1.7870,1.6248,1.5374,1.5137,1.5472,1.6267,1.7162,1.7670,1.7563,1.6910,1.5920,1.4795,1.3664,1.2618,1.1793,1.1403,1.1653,1.2680,1.4684,1.7819,2.1909,2.6250,2.9638,3.0722,2.8721,2.4181,1.8792,1.4225,1.1269,0.9821,0.9352,0.9379,0.9634,0.9988,1.0367,1.0717,1.1000,nan,nan,nan
nan,nan,nan,nan,3.5338,3.4357,3.1989,2.8974,2.5820,2.2794,2.0080,1.7872,1.6289,1.5320,1.4942,1.5151,1.5783,1.6418,1.6650,1.6351,1.5627,1.4656,1.3573,1.2499,1.1619,1.1180,1.1338,1.2188,1.3957,1.6820,2.0614,2.4676,2.7820,2.8664,2.6439,2.1872,1.6895,1.3138,1.1025,1.0110,0.9828,0.9855,1.0055,1.0360,1.0707,1.1037,1.1291,1.1382,nan,nan
nan,nan,nan,2.6003,2.9605,3.1136,3.0719,2.8950,2.6478,2.3732,2.0971,1.8442,1.6388,1.4942,1.4150,1.4037,1.4516,1.5250,1.5783,1.5825,1.5381,1.4592,1.3584,1.2491,1.1524,1.0926,1.0850,1.1439,1.2903,1.5317,1.8505,2.1959,2.4710,2.5469,2.3478,1.9535,1.5581,1.2969,1.1712,1.1209,1.1019,1.0988,1.1086,1.1284,1.1529,1.1750,1.1858,1.1712,nan,nan
nan,nan,1.3113,1.7835,2.2393,2.5785,2.7319,2.6963,2.5213,2.2694,1.9925,1.7327,1.5247,1.3867,1.3188,1.3144,1.3615,1.4344,1.4953,1.5144,1.4895,1.4319,1.3484,1.2464,1.1441,1.0658,1.0336,1.0698,1.1864,1.3730,1.6050,1.8486,2.0476,2.1180,2.0036,1.7640,1.5448,1.4288,1.3879,1.3677,1.3460,1.3247,1.3097,1.3020,1.2978,1.2891,1.2637,1.2036,1.0857,nan
nan,0.5485,0.8077,1.1487,1.5504,1.9420,2.2235,2.3167,2.2161,1.9867,1.7176,1.4811,1.3202,1.2455,1.2404,1.2818,1.3497,1.4199,1.4605,1.4534,1.4147,1.3662,1.3050,1.2208,1.1213,1.0323,0.9864,1.0100,1.1028,1.2368,1.3785,1.5057,1.6042,1.6576,1.6605,1.6508,1.6865,1.7660,1.8288,1.8372,1.7981,1.7337,1.6612,1.5887,1.5172,1.4414,1.3496,1.2266,1.0597,0.8681
0.2684,0.3656,0.5139,0.7282,1.0148,1.3472,1.6514,1.8228,1.7979,1.6195,1.3979,1.2234,1.1393,1.1523,1.2396,1.3632,1.4859,1.5688,1.5708,1.4866,1.3751,1.2929,1.2337,1.1630,1.0705,0.9803,0.9314,0.9504,1.0279,1.1230,1.1972,1.2390,1.2655,1.3087,1.4090,1.6155,1.9416,2.2938,2.5340,2.6099,2.5521,2.4092,2.2202,2.0137,1.8092,1.6153,1.4285,1.2395,1.0412,0.8578
0.2355,0.2781,0.3547,0.4767,0.6553,0.8879,1.1385,1.3268,1.3721,1.2840,1.1554,1.0694,1.0688,1.1713,1.3684,1.6154,1.8432,1.9720,1.9294,1.7207,1.4667,1.2846,1.1819,1.1028,1.0119,0.9219,0.8693,0.8830,0.9536,1.0335,1.0799,1.0886,1.0915,1.1390,1.2940,1.6314,2.1848,2.8404,3.3719,3.6329,3.6157,3.3786,2.9988,2.5603,2.1381,1.7769,1.4834,1.2418,1.0342,0.8735
0.2615,0.2610,0.2873,0.3465,0.4448,0.5858,0.7582,0.9209,1.0156,1.0275,1.0057,1.0112,1.0909,1.2824,1.5988,1.9974,2.3745,2.5915,2.5276,2.1885,1.7531,1.4150,1.2240,1.1143,1.0182,0.9244,0.8610,0.8636,0.9367,1.0320,1.0919,1.1029,1.0973,1.1341,1.2914,1.6625,2.3109,3.1695,4.0141,4.5947,4.7606,4.4880,3.8771,3.1214,2.4184,1.8753,1.4955,1.2327,1.0430,0.9184
0.3630,0.3176,0.3001,0.3131,0.3547,0.4264,0.5267,0.6437,0.7528,0.8351,0.8998,0.9819,1.1315,1.4034,1.8244,2.3516,2.8609,3.1764,3.1414,2.7433,2.1746,1.6897,1.4046,1.2613,1.1607,1.0668,1.0004,1.0069,1.1099,1.2565,1.3524,1.3562,1.3028,1.2715,1.3610,1.6745,2.2891,3.1911,4.2268,5.1250,5.5792,5.3802,4.5764,3.5006,2.5378,1.8678,1.4625,1.2268,1.0878,1.0145
0.5609,0.4643,0.4004,0.3728,0.3710,0.3912,0.4328,0.4980,0.5872,0.6911,0.8000,0.9288,1.1278,1.4613,1.9559,2.5537,3.1156,3.4646,3.4563,3.0749,2.4881,1.9577,1.6425,1.5003,1.4194,1.3541,1.3263,1.3933,1.5866,1.8213,1.9408,1.8794,1.6980,1.5178,1.4651,1.6484,2.1469,2.9815,4.0623,5.1416,5.8258,5.7331,4.8182,3.5345,2.4453,1.7677,1.4195,1.2617,1.2041,1.1955
0.8569,0.7118,0.6005,0.5335,0.4930,0.4695,0.4598,0.4712,0.5175,0.6007,0.7072,0.8431,1.0598,1.4280,1.9651,2.5817,3.1116,3.3935,3.3395,2.9770,2.4601,2.0114,1.7702,1.6978,1.6937,1.7202,1.8086,2.0229,2.3711,2.6961,2.7812,2.5739,2.1918,1.8087,1.5751,1.5976,1.9503,2.6697,3.6992,4.8077,5.5664,5.5125,4.5611,3.2467,2.2118,1.6478,1.4231,1.3805,1.4281,1.4961
1.2123,1.0445,0.9012,0.8025,0.7275,0.6615,0.5990,0.5500,0.5380,0.5741,0.6463,0.7571,0.9577,1.3228,1.8632,2.4546,2.8959,3.0463,2.8931,2.5299,2.1137,1.8105,1.7041,1.7555,1.8928,2.0963,2.3996,2.8425,3.3572,3.7036,3.6694,3.2669,2.6715,2.0915,1.6870,1.5565,1.7654,2.3538,3.2757,4.3033,5.0029,4.9167,3.9957,2.8085,1.9608,1.5809,1.5145,1.6110,1.7853,1.9440
1.5508,1.4112,1.2787,1.1758,1.0816,0.9773,0.8556,0.7326,0.6447,0.6166,0.6416,0.7167,0.8815,1.2015,1.6847,2.1957,2.5192,2.5380,2.2998,1.9473,1.6344,1.4724,1.4953,1.6775,1.9953,2.4513,3.0527,3.7522,4.3636,4.6268,4.4282,3.8555,3.0995,2.3675,1.8193,1.5510,1.6239,2.0739,2.8528,3.7327,4.3003,4.1595,3.3343,2.3723,1.7705,1.5975,1.7047,1.9618,2.2896,2.5594
1.7922,1.7375,1.6807,1.6248,1.5461,1.4187,1.2338,1.0201,0.8374,0.7332,0.7101,0.7554,0.8832,1.1294,1.4910,1.8571,2.0505,1.9819,1.7190,1.4125,1.1998,1.1512,1.2703,1.5581,2.0524,2.7827,3.6966,4.6040,5.2157,5.3455,5.0154,4.3512,3.5105,2.6718,1.9955,1.5914,1.5263,1.8295,2.4421,3.1394,3.5511,3.3745,2.7028,2.0093,1.6613,1.6934,1.9841,2.4276,2.9440,3.3516
1.8986,1.9581,2.0317,2.0807,2.0634,1.9349,1.6859,1.3746,1.0973,0.9224,0.8587,0.8823,0.9769,1.1380,1.3455,1.5325,1.6008,1.4986,1.2760,1.0492,0.9279,0.9594,1.1376,1.4917,2.1142,3.0597,4.2096,5.2397,5.8181,5.8622,5.4862,4.8139,3.9509,3.0355,2.2317,1.6794,1.4643,1.6101,2.0428,2.5466,2.8135,2.6438,2.1648,1.7399,1.6252,1.8512,2.3343,2.9902,3.7274,4.2945
1.8892,2.0420,2.2496,2.4303,2.5045,2.3880,2.0774,1.6902,1.3596,1.1504,1.0650,1.0727,1.1322,1.2065,1.2695,1.3018,1.2819,1.1938,1.0534,0.9174,0.8594,0.9215,1.1102,1.4807,2.1563,3.2046,4.4650,5.5483,6.1336,6.1989,5.8775,5.2669,4.4263,3.4555,2.5227,1.8095,1.4350,1.4200,1.6735,1.9943,2.1500,2.0288,1.7477,1.5581,1.6429,2.0460,2.7187,3.5885,4.5392,5.2495
1.8061,1.9925,2.2722,2.5478,2.7012,2.6002,2.2561,1.8547,1.5400,1.3480,1.2694,1.2703,1.2950,1.2927,1.2513,1.1968,1.1558,1.1239,1.0771,1.0141,0.9726,1.0014,1.1405,1.4687,2.1155,3.1492,4.4052,5.5029,6.1524,6.3349,6.1488,5.6525,4.8688,3.8672,2.8220,1.9634,1.4512,1.3018,1.4012,1.5677,1.6427,1.5745,1.4508,1.4394,1.6791,2.2233,3.0419,4.0579,5.1250,5.8905
1.6811,1.8421,2.1030,2.3816,2.5534,2.4704,2.1582,1.8228,1.5821,1.4457,1.3991,1.4094,1.4167,1.3744,1.2979,1.2474,1.2604,1.3103,1.3377,1.3081,1.2340,1.1709,1.1990,1.4195,1.9557,2.8775,4.0539,5.1516,5.8959,6.2322,6.2073,5.8422,5.1336,4.1342,3.0322,2.1065,1.5445,1.3355,1.3332,1.3776,1.3737,1.3121,1.2650,1.3520,1.6777,2.2842,3.1363,4.1435,5.1474,5.8337
1.5339,1.6429,1.8261,2.0254,2.1418,2.0654,1.8355,1.6146,1.4740,1.4094,1.4104,1.4525,1.4853,1.4780,1.4670,1.5170,1.6366,1.7613,1.8176,1.7687,1.6184,1.4248,1.2975,1.3546,1.7115,2.4489,3.4970,4.5796,5.4060,5.8632,5.9550,5.6850,5.0457,4.0955,3.0475,2.2075,1.7415,1.5747,1.5311,1.4840,1.3912,1.2739,1.2053,1.2871,1.5960,2.1456,2.8831,3.7122,4.4952,5.0070
1.3768,1.4360,1.5352,1.6356,1.6703,1.5834,1.4264,1.3065,1.2558,1.2634,1.3257,1.4330,1.5576,1.6842,1.8402,2.0525,2.2821,2.4428,2.4718,2.3478,2.0815,1.7424,1.4558,1.3387,1.4902,2.0006,2.8679,3.8811,4.7231,5.2149,5.3323,5.0889,4.5073,3.6821,2.8442,2.2673,2.0348,1.9977,1.9720,1.8734,1.7009,1.4932,1.3242,1.2951,1.4754,1.8590,2.3791,2.9460,3.4594,3.7837
1.2175,1.2393,1.2750,1.3020,1.2801,1.1872,1.0719,1.0075,1.0154,1.0895,1.2319,1.4475,1.7294,2.0628,2.4320,2.8028,3.1021,3.2503,3.2055,2.9631,2.5543,2.0761,1.6622,1.4092,1.3851,1.6693,2.3038,3.1473,3.8895,4.3116,4.3749,4.1193,3.6189,3.0125,2.5154,2.3158,2.4011,2.5677,2.6289,2.5289,2.2963,1.9847,1.6700,1.4580,1.4318,1.5903,1.8665,2.1811,2.4648,2.6419
1.0677,1.0644,1.0602,1.0475,1.0050,0.9228,0.8350,0.7975,0.8425,0.9797,1.2159,1.5632,2.0267,2.5776,3.1420,3.6254,3.9444,4.0430,3.8996,3.5236,2.9739,2.3794,1.8774,1.5397,1.3980,1.5006,1.8878,2.4660,2.9891,3.2653,3.2571,3.0195,2.6595,2.3273,2.1941,2.3784,2.8168,3.2613,3.4887,3.4356,3.1489,2.7109,2.2212,1.7993,1.5425,1.4672,1.5199,1.6333,1.7539,1.8340
0.9505,0.9334,0.9108,0.8864,0.8476,0.7842,0.7176,0.6991,0.7763,0.9700,1.2854,1.7412,2.3558,3.0861,3.8021,4.3567,4.6650,4.6988,4.4560,3.9610,3.2973,2.6152,2.0544,1.6719,1.4732,1.4696,1.6614,1.9618,2.2164,2.3208,2.2586,2.0815,1.8888,1.8026,1.9543,2.4479,3.2228,3.9879,4.4405,4.4661,4.1170,3.5253,2.8484,2.2320,1.7732,1.4977,1.3715,1.3391,1.3524,1.3727
0.8978,0.8811,0.8638,0.8518,0.8306,0.7823,0.7217,0.7075,0.8020,1.0228,1.3669,1.8675,2.5635,3.4088,4.2345,4.8483,5.1520,5.1332,4.8115,4.2298,3.4871,2.7438,2.1457,1.7531,1.5643,1.5586,1.6737,1.7950,1.8330,1.7691,1.6320,1.4827,1.3998,1.4665,1.7893,2.4822,3.5049,4.5384,5.1990,5.2998,4.8857,4.1525,3.3316,2.5879,1.9997,1.5923,1.3499,1.2268,1.1753,1.1603
0.9416,0.9448,0.9619,0.9897,1.0013,0.9620,0.8766,0.8197,0.8772,1.0633,1.3682,1.8362,2.5246,3.4019,4.2938,4.9744,5.3083,5.2730,4.9064,4.2753,3.4916,2.7205,2.1189,1.7670,1.6707,1.7717,1.9297,1.9951,1.9121,1.7079,1.4523,1.2413,1.1603,1.2711,1.6594,2.4334,3.5555,4.7043,5.4618,5.5915,5.1348,4.3434,3.4918,2.7294,2.1046,1.6458,1.3556,1.1954,1.1171,1.0868
1.1136,1.1609,1.2442,1.3391,1.3991,1.3617,1.2062,1.0242,0.9551,1.0382,1.2526,1.6273,2.2212,3.0308,3.9153,4.6433,5.0313,5.0187,4.6492,4.0179,3.2533,2.5219,1.9873,1.7484,1.8145,2.0782,2.3325,2.4141,2.2885,1.9979,1.6251,1.2940,1.1236,1.1849,1.5462,2.2847,3.3469,4.4360,5.1575,5.2702,4.8239,4.0913,3.3309,2.6463,2.0622,1.6190,1.3371,1.1838,1.1114,1.0846
1.4541,1.5699,1.7424,1.9121,2.0084,1.9399,1.6591,1.2789,1.0199,0.9672,1.0755,1.3308,1.7718,2.4169,3.1800,3.8660,4.2724,4.2998,3.9829,3.4341,2.7890,2.1998,1.8169,1.7434,1.9868,2.4075,2.7661,2.8989,2.7841,2.4685,2.0270,1.5815,1.2766,1.2153,1.4634,2.0603,2.9356,3.8434,4.4545,4.5526,4.1841,3.5926,2.9835,2.4197,1.9199,1.5380,1.3044,1.1907,1.1508,1.1457
2.0001,2.1970,2.4535,2.6639,2.7395,2.5778,2.1302,1.5398,1.0956,0.9180,0.9321,1.0757,1.3535,1.7855,2.3317,2.8597,3.2017,3.2583,3.0520,2.6789,2.2459,1.8683,1.6728,1.7635,2.1550,2.7040,3.1645,3.3722,3.3102,3.0267,2.5794,2.0595,1.6098,1.3711,1.4309,1.8086,2.4281,3.1041,3.5901,3.7024,3.4562,3.0283,2.5694,2.1277,1.7320,1.4424,1.2869,1.2389,1.2565,1.2931
2.7365,2.9948,3.2819,3.4586,3.4406,3.1432,2.5371,1.7822,1.1982,0.9261,0.8693,0.9271,1.0714,1.3094,1.6282,1.9565,2.1883,2.2561,2.1732,1.9954,1.7805,1.6037,1.5740,1.7994,2.3035,2.9503,3.5023,3.7982,3.8225,3.6178,3.2127,2.6519,2.0601,1.6141,1.4440,1.5752,1.9337,2.3810,2.7446,2.8759,2.7502,2.4687,2.1378,1.8091,1.5284,1.3514,1.2947,1.3330,1.4309,1.5297
3.5611,3.8144,4.0362,4.0934,3.9331,3.5058,2.8015,1.9651,1.3040,0.9726,0.8684,0.8678,0.9189,1.0164,1.1636,1.3360,1.4783,1.5490,1.5513,1.5090,1.4472,1.4153,1.5115,1.8436,2.4315,3.1398,3.7497,4.1206,4.2421,4.1390,3.7963,3.2107,2.4933,1.8541,1.4687,1.3819,1.5229,1.7761,2.0185,2.1396,2.0955,1.9287,1.7082,1.4891,1.3261,1.2640,1.3086,1.4391,1.6288,1.8034
4.3097,4.4590,4.5134,4.3907,4.0761,3.5545,2.8311,2.0163,1.3612,1.0148,0.8872,0.8507,0.8439,0.8553,0.8993,0.9810,1.0734,1.1446,1.1881,1.2133,1.2339,1.2892,1.4704,1.8783,2.5129,3.2275,3.8316,4.2292,4.4257,4.4195,4.1456,3.5609,2.7690,2.0020,1.4683,1.2316,1.2239,1.3352,1.4674,1.5456,1.5358,1.4520,1.3310,1.2146,1.1510,1.1760,1.2957,1.5001,1.7730,2.0240
4.8162,4.7698,4.5951,4.2794,3.8313,3.2576,2.5782,1.8763,1.3217,1.0186,0.8958,0.8456,0.8125,0.7859,0.7836,0.8212,0.8847,0.9489,1.0055,1.0579,1.1149,1.2112,1.4315,1.8634,2.4815,3.1301,3.6601,4.0313,4.2673,4.3411,4.1467,3.6109,2.8241,2.0219,1.4296,1.1257,1.0452,1.0760,1.1300,1.1603,1.1569,1.1281,1.0848,1.0437,1.0362,1.0952,1.2389,1.4742,1.7990,2.1140
4.9705,4.6871,4.2903,3.8217,3.2912,2.7140,2.1216,1.5819,1.1894,0.9796,0.8924,0.8554,0.8330,0.8161,0.8106,0.8235,0.8521,0.8911,0.9397,0.9968,1.0640,1.1668,1.3762,1.7632,2.2903,2.8172,3.2430,3.5671,3.8167,3.9471,3.8334,3.3873,2.6799,1.9308,1.3656,1.0722,0.9880,0.9960,1.0111,1.0078,0.9986,0.9945,0.9911,0.9840,0.9882,1.0344,1.1518,1.3636,1.6878,2.0365
