nan,nan,nan,nan,nan,nan,nan,nan,0.9120,0.9005,0.9206,0.9427,0.9462,0.9449,0.9967,1.1611,1.4185,1.6696,1.8333,1.9024,1.9136,1.9024,1.8802,1.8239,1.6782,1.4075,1.1043,0.9446,0.9931,1.2223,1.6211,2.2065,2.9700,3.8055,4.5133,4.9499,5.1358,5.1502,4.9743,4.4447,3.4348,2.2505,1.4059,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,1.2134,1.0912,1.0254,1.0005,0.9924,0.9815,0.9724,1.0062,1.1344,1.3511,1.5787,1.7438,1.8295,1.8584,1.8587,1.8433,1.7981,1.6790,1.4508,1.1894,1.0601,1.1320,1.3826,1.7997,2.3924,3.1405,3.9412,4.6231,5.0578,5.2279,5.1417,4.7268,3.8890,2.7808,1.8368,1.2975,1.0750,1.0190,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,1.6567,1.4620,1.3056,1.1898,1.1133,1.0655,1.0335,1.0177,1.0430,1.1441,1.3181,1.5089,1.6598,1.7509,1.7923,1.8039,1.7993,1.7736,1.6962,1.5331,1.3349,1.2466,1.3436,1.6118,2.0350,2.6089,3.3041,4.0300,4.6457,5.0266,5.1072,4.8413,4.1836,3.2205,2.2704,1.6314,1.3307,1.2465,1.2749,1.3641,nan,nan,nan,nan
nan,nan,nan,nan,nan,1.9889,1.8248,1.6681,1.5163,1.3728,1.2497,1.1572,1.0990,1.0793,1.1120,1.2105,1.3593,1.5124,1.6332,1.7106,1.7512,1.7700,1.7796,1.7804,1.7509,1.6564,1.5201,1.4632,1.5701,1.8366,2.2397,2.7620,3.3709,3.9920,4.5039,4.7754,4.7109,4.2681,3.5034,2.6414,1.9693,1.6074,1.4941,1.5284,1.6458,1.8196,2.0454,nan,nan,nan
nan,nan,nan,nan,1.9714,1.9232,1.8566,1.7752,1.6705,1.5376,1.3902,1.2591,1.1747,1.1562,1.2108,1.3283,1.4725,1.5997,1.6890,1.7431,1.7741,1.7972,1.8239,1.8546,1.8678,1.8219,1.7200,1.6705,1.7680,2.0137,2.3743,2.8193,3.3168,3.8072,4.1836,4.3141,4.1077,3.5773,2.8775,2.2534,1.8744,1.7468,1.7938,1.9461,2.1676,2.4459,2.7785,nan,nan,nan
nan,nan,nan,nan,1.6474,1.7036,1.7360,1.7435,1.7131,1.6287,1.4937,1.3471,1.2483,1.2400,1.3262,1.4745,1.6358,1.7695,1.8588,1.9082,1.9361,1.9637,2.0039,2.0511,2.0714,2.0124,1.8838,1.8101,1.8863,2.1013,2.4058,2.7572,3.1237,3.4617,3.6870,3.6902,3.4159,2.9361,2.4359,2.0956,1.9794,2.0497,2.2452,2.5232,2.8627,3.2521,3.6745,4.0880,nan,nan
nan,nan,nan,1.2008,1.2909,1.3941,1.4950,1.5787,1.6242,1.6065,1.5160,1.3876,1.2982,1.3124,1.4320,1.6118,1.8098,2.0037,2.1730,2.2952,2.3664,2.4066,2.4333,2.4347,2.3634,2.1788,1.9492,1.8311,1.8880,2.0723,2.3153,2.5642,2.7875,2.9631,3.0516,2.9934,2.7711,2.4695,2.2350,2.1675,2.2760,2.5211,2.8618,3.2689,3.7192,4.1822,4.6014,4.8728,nan,nan
nan,nan,1.0936,1.0405,1.0496,1.1152,1.2213,1.3422,1.4432,1.4876,1.4557,1.3732,1.3182,1.3649,1.5164,1.7282,1.9800,2.2849,2.6356,2.9613,3.1707,3.2341,3.1727,2.9933,2.6770,2.2579,1.8942,1.7398,1.7897,1.9500,2.1357,2.2892,2.3798,2.4087,2.3976,2.3548,2.2830,2.2285,2.2676,2.4430,2.7485,3.1559,3.6339,4.1476,4.6498,5.0691,5.2990,5.2057,4.6600,nan
nan,1.4106,1.2340,1.0977,1.0101,0.9868,1.0354,1.1420,1.2670,1.3589,1.3851,1.3600,1.3497,1.4281,1.6110,1.8676,2.1967,2.6442,3.2276,3.8279,4.2206,4.2774,4.0239,3.5293,2.8731,2.2091,1.7476,1.5856,1.6450,1.7970,1.9499,2.0487,2.0641,2.0046,1.9290,1.9099,1.9874,2.1704,2.4620,2.8598,3.3500,3.9067,4.4886,5.0331,5.4529,5.6400,5.4874,4.9369,4.0093,2.9152
1.8667,1.6641,1.4735,1.3028,1.1571,1.0576,1.0307,1.0896,1.2087,1.3281,1.4000,1.4252,1.4538,1.5566,1.7740,2.0994,2.5386,3.1420,3.9219,4.7052,5.1694,5.1253,4.6112,3.7749,2.8273,2.0223,1.5466,1.4159,1.5067,1.6770,1.8376,1.9399,1.9513,1.8684,1.7476,1.6959,1.8204,2.1596,2.6691,3.2841,3.9552,4.6324,5.2421,5.6833,5.8445,5.6404,5.0577,4.1782,3.1344,2.1660
