nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0000,0.0001,0.0005,0.0025,0.0102,0.0360,0.1047,0.2586,0.5662,1.1341,2.0982,3.4991,5.0698,6.3077,6.8841,6.7682,6.0417,4.8196,3.3485,2.0253,1.1597,0.7993,0.8483,1.2280,1.9265,2.9877,4.4646,6.3072,8.2356,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,0.0011,0.0005,0.0002,0.0002,0.0003,0.0005,0.0009,0.0015,0.0036,0.0105,0.0336,0.0968,0.2411,0.5315,1.0659,1.9631,3.2555,4.7159,5.9063,6.4989,6.4110,5.6887,4.4601,3.0213,1.7946,1.0584,0.8293,1.0136,1.5477,2.4345,3.7216,5.4143,7.3200,9.0119,10.0839,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,0.0089,0.0042,0.0019,0.0009,0.0008,0.0013,0.0022,0.0034,0.0052,0.0088,0.0170,0.0391,0.0962,0.2247,0.4782,0.9292,1.6542,2.6646,3.8119,4.8082,5.3809,5.3728,4.7447,3.6215,2.3604,1.3844,0.8958,0.8719,1.2320,1.9336,2.9940,4.4512,6.2270,7.9947,9.3066,9.9136,9.8575,9.3042,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,0.0415,0.0215,0.0107,0.0053,0.0030,0.0030,0.0049,0.0081,0.0122,0.0175,0.0257,0.0406,0.0692,0.1259,0.2365,0.4336,0.7491,1.2040,1.7849,2.4211,2.9943,3.3685,3.4095,3.0208,2.2665,1.4486,0.8876,0.7033,0.8793,1.3767,2.1847,3.3418,4.8688,6.6013,8.1354,9.0849,9.3412,9.0175,8.2715,7.2237,nan,nan,nan,nan,nan
nan,nan,nan,nan,0.1694,0.0940,0.0503,0.0261,0.0135,0.0085,0.0093,0.0158,0.0264,0.0387,0.0526,0.0707,0.0976,0.1380,0.1966,0.2836,0.4118,0.5852,0.7962,1.0276,1.2527,1.4352,1.5330,1.5001,1.2999,0.9650,0.6359,0.4594,0.5059,0.7985,1.3427,2.1594,3.3109,4.8049,6.4159,7.7164,8.3925,8.4158,7.9168,7.0359,5.8863,4.5847,nan,nan,nan,nan
nan,nan,nan,0.5421,0.3341,0.1951,0.1089,0.0588,0.0324,0.0222,0.0264,0.0460,0.0775,0.1116,0.1435,0.1755,0.2119,0.2540,0.2997,0.3500,0.4091,0.4750,0.5402,0.5981,0.6412,0.6579,0.6343,0.5613,0.4442,0.3139,0.2224,0.2191,0.3482,0.6451,1.1278,1.8342,2.8502,4.1944,5.6352,6.7535,7.2677,7.1640,6.5640,5.6056,4.4308,3.2145,nan,nan,nan,nan
nan,nan,1.2709,0.8990,0.5971,0.3717,0.2186,0.1238,0.0722,0.0539,0.0681,0.1189,0.1990,0.2817,0.3464,0.3895,0.4151,0.4290,0.4357,0.4367,0.4318,0.4210,0.4054,0.3879,0.3683,0.3407,0.2982,0.2396,0.1750,0.1227,0.1019,0.1357,0.2582,0.4960,0.8551,1.3691,2.1347,3.2050,4.4074,5.3664,5.7920,5.6357,5.0028,4.0565,2.9997,2.0525,1.3770,nan,nan,nan
nan,nan,1.7654,1.3346,0.9526,0.6360,0.3976,0.2376,0.1469,0.1184,0.1545,0.2612,0.4223,0.5867,0.7032,0.7500,0.7343,0.6844,0.6268,0.5677,0.5006,0.4251,0.3515,0.2907,0.2450,0.2084,0.1749,0.1442,0.1208,0.1083,0.1101,0.1417,0.2320,0.3986,0.6327,0.9502,1.4339,2.1604,3.0453,3.8022,4.1434,3.9757,3.3959,2.6097,1.8554,1.3102,1.0209,0.9212,nan,nan
nan,2.7772,2.2696,1.8035,1.3639,0.9682,0.6422,0.4051,0.2647,0.2262,0.2962,0.4711,0.7171,0.9712,1.1592,1.2247,1.1664,1.0407,0.9070,0.7807,0.6472,0.5029,0.3675,0.2634,0.1964,0.1591,0.1436,0.1470,0.1649,0.1870,0.2059,0.2297,0.2805,0.3720,0.4954,0.6546,0.9054,1.3174,1.8688,2.3787,2.6124,2.4724,2.0588,1.5792,1.2138,1.0275,0.9774,0.9760,0.9387,nan
3.6452,3.1788,2.7151,2.2502,1.7783,1.3218,0.9176,0.6038,0.4114,0.3646,0.4709,0.7024,1.0065,1.3285,1.5977,1.7248,1.6722,1.5023,1.3058,1.1130,0.9052,0.6769,0.4605,0.2967,0.2019,0.1686,0.1841,0.2372,0.3108,0.3811,0.4307,0.4554,0.4619,0.4629,0.4701,0.4985,0.5829,0.7688,1.0575,1.3521,1.5045,1.4547,1.2860,1.1309,1.0606,1.0607,1.0726,1.0387,0.9225,0.7474
3.5246,3.2889,2.9709,2.5795,2.1238,1.6366,1.1716,0.7904,0.5500,0.4947,0.6295,0.9016,1.2466,1.6238,1.9774,2.2016,2.2129,2.0505,1.8192,1.5644,1.2703,0.9396,0.6239,0.3865,0.2608,0.2437,0.3143,0.4454,0.6028,0.7503,0.8583,0.9012,0.8602,0.7465,0.6093,0.5028,0.4613,0.5075,0.6450,0.8300,0.9863,1.0770,1.1295,1.1807,1.2305,1.2478,1.2002,1.0743,0.8769,0.6655
