nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0013,1.8373,0.9526,0.4591,0.2969,0.4036,0.7943,1.5218,2.5813,3.8876,5.3238,6.7243,7.7865,8.0504,7.1414,5.2707,3.2567,1.7621,0.8956,0.4863,0.3564,0.3918,0.5364,0.7762,1.1012,1.4701,1.8099,2.0449,2.1239,2.0231,1.7480,1.3638,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,4.0871,3.8011,3.0725,2.0873,1.1857,0.6077,0.3747,0.4307,0.7824,1.4961,2.5797,3.9154,5.3415,6.6828,7.6606,7.8649,6.9847,5.2286,3.3168,1.8513,0.9666,0.5321,0.3882,0.4247,0.5862,0.8563,1.2136,1.5976,1.9188,2.0977,2.0883,1.8800,1.5183,1.1211,0.8177,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,3.0572,3.3104,3.3043,2.9242,2.1963,1.3712,0.7598,0.4813,0.5044,0.8248,1.5146,2.6041,3.9415,5.2809,6.4159,7.1198,7.1128,6.2481,4.7554,3.1546,1.8702,1.0351,0.5924,0.4368,0.4792,0.6677,0.9782,1.3692,1.7543,2.0317,2.1293,2.0168,1.7117,1.3064,0.9424,0.7136,0.6244,0.6292,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,1.9898,2.3102,2.5819,2.7125,2.5826,2.1215,1.4509,0.8745,0.5973,0.6309,0.9642,1.6505,2.7030,3.9251,4.9927,5.6837,5.8725,5.4889,4.6065,3.4759,2.3870,1.5195,0.9244,0.5867,0.4719,0.5391,0.7552,1.0940,1.4967,1.8592,2.0787,2.0968,1.9003,1.5371,1.1328,0.8207,0.6526,0.6030,0.6200,0.6569,nan,nan,nan,nan,nan
nan,nan,nan,nan,1.2406,1.4660,1.7089,1.9414,2.1082,2.1200,1.8807,1.4068,0.9326,0.7086,0.7975,1.1908,1.9026,2.8730,3.8426,4.4861,4.6496,4.3433,3.6753,2.8364,2.0301,1.3814,0.9219,0.6335,0.4914,0.4793,0.5892,0.8204,1.1587,1.5392,1.8524,2.0072,1.9626,1.7200,1.3480,0.9805,0.7258,0.6029,0.5728,0.5850,0.5974,0.5801,nan,nan,nan,nan
nan,nan,nan,0.8155,0.9307,1.0746,1.2395,1.4097,1.5536,1.6148,1.5167,1.2326,0.9117,0.7913,0.9695,1.4408,2.1666,3.0031,3.6748,3.9435,3.7551,3.2043,2.4662,1.7361,1.1507,0.7522,0.5200,0.4170,0.4102,0.4754,0.6093,0.8308,1.1371,1.4610,1.6993,1.7869,1.7059,1.4672,1.1380,0.8344,0.6359,0.5443,0.5188,0.5145,0.4988,0.4589,nan,nan,nan,nan
nan,nan,0.6571,0.6833,0.7281,0.7967,0.8873,0.9902,1.0859,1.1403,1.1062,0.9628,0.8040,0.8112,1.0831,1.6078,2.2966,2.9641,3.3845,3.4234,3.0898,2.4967,1.8122,1.1991,0.7509,0.4787,0.3502,0.3263,0.3717,0.4577,0.5826,0.7721,1.0269,1.2795,1.4388,1.4677,1.3729,1.1720,0.9158,0.6867,0.5381,0.4656,0.4345,0.4113,0.3806,0.3532,0.3641,nan,nan,nan
nan,nan,0.6296,0.6231,0.6166,0.6216,0.6449,0.6852,0.7316,0.7637,0.7554,0.7009,0.6615,0.7576,1.0713,1.5872,2.1909,2.6984,2.9453,2.8699,2.5153,1.9859,1.4129,0.9178,0.5685,0.3690,0.2893,0.2931,0.3457,0.4201,0.5175,0.6638,0.8620,1.0521,1.1552,1.1487,1.0534,0.8942,0.7075,0.5430,0.4319,0.3685,0.3298,0.3002,0.2863,0.3151,0.4201,0.6257,nan,nan
nan,0.5844,0.6006,0.5902,0.5622,0.5293,0.5057,0.5015,0.5189,0.5498,0.5773,0.5889,0.6083,0.7075,0.9643,1.3869,1.8706,2.2448,2.3806,2.2563,1.9373,1.5172,1.0849,0.7167,0.4588,0.3163,0.2666,0.2790,0.3226,0.3759,0.4422,0.5440,0.6879,0.8309,0.9068,0.8916,0.8056,0.6782,0.5391,0.4176,0.3293,0.2705,0.2332,0.2217,0.2561,0.3626,0.5596,0.8498,1.2217,nan
0.4293,0.4976,0.5358,0.5420,0.5211,0.4840,0.4490,0.4378,0.4682,0.5423,0.6339,0.7011,0.7330,0.7752,0.9054,1.1646,1.4879,1.7294,1.7787,1.6326,1.3663,1.0624,0.7745,0.5368,0.3721,0.2851,0.2622,0.2800,0.3134,0.3466,0.3839,0.4433,0.5361,0.6404,0.7057,0.7004,0.6324,0.5291,0.4185,0.3216,0.2475,0.1974,0.1764,0.2003,0.2904,0.4631,0.7207,1.0464,1.4072,1.7264
0.3092,0.3806,0.4350,0.4639,0.4683,0.4573,0.4520,0.4825,0.5773,0.7364,0.9060,1.0122,1.0318,1.0041,0.9990,1.0729,1.2061,1.2976,1.2621,1.1040,0.8912,0.6875,0.5202,0.3947,0.3134,0.2773,0.2795,0.3037,0.3296,0.3450,0.3533,0.3709,0.4138,0.4794,0.5360,0.5469,0.5033,0.4235,0.3343,0.2565,0.1991,0.1660,0.1678,0.2237,0.3527,0.5620,0.8403,1.1558,1.4659,1.7044
0.2260,0.2805,0.3343,0.3792,0.4165,0.4563,0.5214,0.6437,0.8472,1.1119,1.3528,1.4814,1.4808,1.3898,1.2650,1.1616,1.0975,1.0310,0.9146,0.7547,0.5945,0.4684,0.3838,0.3329,0.3082,0.3074,0.3266,0.3537,0.3706,0.3654,0.3415,0.3168,0.3133,0.3410,0.3833,0.4063,0.3883,0.3352,0.2712,0.2186,0.1852,0.1721,0.1898,0.2596,0.4008,0.6150,0.8797,1.1548,1.3976,1.5617
0.1966,0.2300,0.2738,0.3276,0.4021,0.5177,0.7014,0.9728,1.3240,1.6951,1.9825,2.1119,2.0842,1.9356,1.7033,1.4310,1.1677,0.9396,0.7468,0.5900,0.4764,0.4072,0.3754,0.3691,0.3781,0.3969,0.4203,0.4372,0.4317,0.3945,0.3327,0.2693,0.2303,0.2291,0.2558,0.2827,0.2846,0.2591,0.2256,0.2028,0.1935,0.1950,0.2163,0.2806,0.4096,0.6025,0.8303,1.0498,1.2237,1.3255
0.2042,0.2215,0.2568,0.3199,0.4370,0.6528,1.0112,1.5091,2.0667,2.5532,2.8575,2.9531,2.8780,2.6663,2.3299,1.8923,1.4229,1.0168,0.7313,0.5641,0.4838,0.4598,0.4720,0.5068,0.5518,0.5920,0.6092,0.5893,0.5286,0.4349,0.3269,0.2311,0.1709,0.1539,0.1699,0.1962,0.2112,0.2098,0.2041,0.2048,0.2102,0.2169,0.2323,0.2779,0.3771,0.5307,0.7083,0.8683,0.9801,1.0330
