nan,nan,nan,nan,nan,nan,nan,nan,nan,7.1328,9.1676,10.4985,10.8343,10.2457,8.9201,7.0210,4.8253,2.8132,1.3878,0.6024,0.2707,0.1931,0.2544,0.4084,0.6366,0.9261,1.2656,1.6310,1.9689,2.2049,2.2817,2.1921,1.9684,1.6559,1.3132,1.0171,0.8398,0.8121,0.9104,1.0718,1.2324,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,2.5385,3.9698,5.8958,7.9456,9.4714,10.0352,9.6760,8.6317,7.0510,5.0789,3.1010,1.6024,0.7584,0.4225,0.3881,0.5207,0.7432,1.0040,1.2837,1.5923,1.9217,2.2107,2.3668,2.3354,2.1439,1.8595,1.5403,1.2451,1.0385,0.9623,1.0093,1.1321,1.2716,1.3874,1.4705,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,1.4652,2.1449,3.2636,4.8851,6.7827,8.3387,8.9970,8.7566,7.9298,6.7063,5.1248,3.3716,1.9073,1.0631,0.7925,0.8992,1.2170,1.6063,1.9507,2.2127,2.4345,2.6401,2.7604,2.6843,2.4051,2.0494,1.7342,1.5005,1.3597,1.3130,1.3390,1.4005,1.4652,1.5163,1.5526,1.5792,1.5982,1.6053,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,1.2356,1.4836,1.9890,2.8616,4.1899,5.8519,7.3063,7.9262,7.6680,6.9087,5.8993,4.6681,3.2795,2.0730,1.4184,1.3542,1.7059,2.2745,2.8595,3.2976,3.5402,3.6390,3.6283,3.4323,2.9713,2.3863,1.9486,1.7760,1.8158,1.9502,2.0611,2.0792,2.0054,1.8895,1.7862,1.7196,1.6824,1.6563,1.6225,1.5623,nan,nan,nan,nan,nan
nan,nan,nan,nan,1.5741,1.5455,1.6829,2.0526,2.7396,3.8203,5.2214,6.4834,6.9669,6.5992,5.8020,4.8637,3.8348,2.7728,1.9362,1.6078,1.8078,2.3647,3.0668,3.7040,4.1234,4.2857,4.2351,3.9963,3.5153,2.8060,2.1563,1.9059,2.1266,2.6361,3.1187,3.3093,3.1515,2.7751,2.3716,2.0708,1.8908,1.7869,1.7117,1.6316,1.5220,1.3691,nan,nan,nan,nan
nan,nan,nan,2.3114,2.1562,2.0571,2.0981,2.3567,2.9075,3.8018,4.9598,5.9689,6.2299,5.6858,4.7943,3.8580,2.9439,2.1292,1.6126,1.5570,1.9281,2.5583,3.2504,3.8189,4.1373,4.1737,3.9614,3.5323,2.9043,2.2074,1.7682,1.8862,2.6028,3.6331,4.4471,4.6465,4.2394,3.5204,2.8279,2.3472,2.0692,1.9050,1.7806,1.6515,1.4928,1.3011,nan,nan,nan,nan
nan,nan,2.9222,2.9364,2.8661,2.7753,2.7647,2.9405,3.3899,4.1429,5.0744,5.7688,5.7123,4.9361,3.9327,3.0021,2.2073,1.6068,1.3169,1.4068,1.8216,2.4192,3.0319,3.5007,3.7167,3.6489,3.3243,2.7932,2.1440,1.5757,1.3782,1.7874,2.8453,4.2174,5.2333,5.4296,4.8793,3.9811,3.1488,2.5861,2.2608,2.0576,1.8896,1.7114,1.5067,1.2870,1.0818,nan,nan,nan
nan,nan,3.2717,3.4617,3.5734,3.6140,3.6542,3.8100,4.1877,4.8012,5.4615,5.7402,5.2825,4.2739,3.2072,2.3452,1.7145,1.3130,1.1745,1.3143,1.6818,2.1724,2.6591,3.0127,3.1363,2.9984,2.6264,2.0904,1.5176,1.1062,1.0730,1.5981,2.7367,4.1674,5.2031,5.3940,4.8560,4.0096,3.2515,2.7531,2.4613,2.2550,2.0527,1.8225,1.5680,1.3199,1.1175,1.0024,nan,nan
nan,3.1569,3.4707,3.8043,4.1221,4.3852,4.5995,4.8340,5.1733,5.5979,5.8716,5.6409,4.8049,3.6784,2.6670,1.9529,1.5158,1.2932,1.2617,1.4069,1.6804,2.0074,2.3102,2.5075,2.5279,2.3441,1.9855,1.5299,1.0998,0.8432,0.8998,1.4014,2.4074,3.6585,4.5618,4.7312,4.2973,3.6498,3.1176,2.8062,2.6279,2.4557,2.2244,1.9343,1.6252,1.3521,1.1669,1.1220,1.2849,nan
2.8684,3.1522,3.5025,3.9250,4.4048,4.8908,5.3319,5.7120,6.0302,6.2026,6.0168,5.3281,4.2819,3.2028,2.3558,1.8404,1.6065,1.5569,1.6331,1.7950,1.9776,2.1121,2.1673,2.1375,2.0127,1.7893,1.4928,1.1806,0.9288,0.8158,0.9183,1.3239,2.0763,2.9947,3.6517,3.7646,3.4538,3.0427,2.7785,2.6985,2.6705,2.5518,2.3002,1.9635,1.6244,1.3615,1.2392,1.3178,1.6640,2.2163
2.7253,2.9944,3.3455,3.8010,4.3724,5.0152,5.6415,6.1508,6.4360,6.3558,5.7975,4.8501,3.7845,2.8553,2.2164,1.9184,1.9019,2.0519,2.2802,2.5126,2.6485,2.6049,2.3856,2.0706,1.7477,1.4688,1.2557,1.1165,1.0528,1.0719,1.2021,1.4899,1.9498,2.4666,2.7970,2.7927,2.5617,2.3437,2.3041,2.4221,2.5283,2.4715,2.2345,1.9031,1.5900,1.3928,1.3862,1.6297,2.1729,2.8804
2.5448,2.7462,3.0369,3.4514,4.0251,4.7308,5.4596,6.0441,6.2968,6.0582,5.3230,4.3219,3.3495,2.5952,2.1569,2.0717,2.2850,2.6680,3.0944,3.4405,3.5649,3.3785,2.9208,2.3418,1.8191,1.4769,1.3487,1.3865,1.5058,1.6435,1.7848,1.9429,2.1140,2.2404,2.2299,2.0580,1.8359,1.7354,1.8500,2.1040,2.3057,2.3169,2.1364,1.8603,1.6165,1.5205,1.6550,2.0701,2.7890,3.6107
2.4534,2.5546,2.7268,3.0139,3.4729,4.1127,4.8378,5.4467,5.7047,5.4515,4.7328,3.8139,2.9755,2.3786,2.1076,2.2065,2.6353,3.2532,3.8814,4.3342,4.4430,4.1410,3.5154,2.7656,2.1200,1.7569,1.7319,1.9504,2.2423,2.4738,2.5894,2.5855,2.4755,2.2688,1.9761,1.6488,1.4063,1.3834,1.6122,1.9560,2.2168,2.2863,2.1714,1.9599,1.7870,1.7877,2.0507,2.6096,3.4561,4.3402
2.4878,2.5051,2.5575,2.6845,2.9439,3.3807,3.9589,4.5113,4.7983,4.6498,4.0883,3.3329,2.6375,2.1665,2.0134,2.2340,2.8106,3.6063,4.3912,4.9176,5.0062,4.6271,3.9147,3.1006,2.4355,2.1261,2.2423,2.6462,3.0901,3.3813,3.4323,3.2419,2.8688,2.3954,1.9004,1.4729,1.2364,1.2983,1.6243,2.0254,2.3207,2.4364,2.3811,2.2250,2.1035,2.1720,2.5255,3.1766,4.0840,4.9662
2.6000,2.5652,2.5346,2.5372,2.6108,2.8008,3.1232,3.5012,3.7616,3.7397,3.3958,2.8494,2.3051,1.9383,1.8546,2.1064,2.6981,3.5372,4.3879,4.9558,5.0507,4.6682,3.9670,3.1891,2.5901,2.3908,2.6627,3.2249,3.7798,4.1073,4.1008,3.7587,3.1787,2.5064,1.8750,1.4014,1.2088,1.3641,1.7647,2.1989,2.5179,2.6739,2.6716,2.5626,2.4755,2.5812,2.9799,3.6617,4.5483,5.3469
2.7328,2.6643,2.5799,2.5051,2.4585,2.4647,2.5464,2.6929,2.8312,2.8544,2.6918,2.3649,2.0032,1.7686,1.7509,1.9683,2.4307,3.1193,3.8711,4.4026,4.5190,4.2172,3.6364,2.9879,2.5120,2.4349,2.8204,3.4630,4.0682,4.4273,4.4187,4.0169,3.3249,2.5329,1.8266,1.3545,1.2323,1.4751,1.9280,2.3815,2.7144,2.8917,2.9147,2.8257,2.7513,2.8694,3.2759,3.9308,4.7100,5.3395
2.8630,2.7676,2.6400,2.5107,2.3906,2.2876,2.2113,2.1692,2.1559,2.1446,2.0980,1.9989,1.8923,1.8579,1.9283,2.0984,2.3784,2.7853,3.2521,3.5966,3.6732,3.4714,3.0698,2.6042,2.2730,2.2900,2.7027,3.3180,3.8974,4.2677,4.2971,3.9224,3.2224,2.4064,1.7029,1.2844,1.2485,1.5646,2.0535,2.5151,2.8403,2.9966,2.9887,2.8708,2.7821,2.8976,3.2914,3.8809,4.4955,4.9163
2.9784,2.8664,2.7011,2.5219,2.3436,2.1691,1.9986,1.8404,1.7222,1.6882,1.7723,1.9540,2.1480,2.2951,2.4132,2.5376,2.6860,2.8551,3.0066,3.0742,3.0189,2.8456,2.5773,2.2736,2.0707,2.1327,2.4775,2.9603,3.4248,3.7429,3.7868,3.4678,2.8335,2.0885,1.4744,1.1575,1.2061,1.5678,2.0690,2.5176,2.8014,2.8893,2.8058,2.6361,2.5299,2.6407,3.0112,3.5212,3.9721,4.2197
3.0318,2.9267,2.7416,2.5164,2.2815,2.0483,1.8188,1.6060,1.4644,1.5028,1.8125,2.3081,2.7291,2.9496,3.0514,3.1296,3.2109,3.2623,3.2244,3.0807,2.8785,2.6590,2.4355,2.2341,2.1239,2.1737,2.3678,2.6329,2.8960,3.0756,3.0661,2.7787,2.2421,1.6367,1.1729,0.9751,1.0776,1.4325,1.8981,2.2979,2.5164,2.5309,2.3933,2.2078,2.1072,2.2092,2.5367,2.9594,3.2816,3.4213
2.9287,2.8609,2.6932,2.4436,2.1627,1.8863,1.6317,1.4282,1.3639,1.5917,2.1786,2.9108,3.4429,3.6703,3.7283,3.7535,3.7868,3.7853,3.6757,3.4492,3.1760,2.9195,2.7148,2.5898,2.5424,2.5288,2.5189,2.5162,2.5172,2.4859,2.3537,2.0589,1.6264,1.1909,0.8922,0.7943,0.9049,1.1936,1.5652,1.8794,2.0354,2.0202,1.8926,1.7426,1.6650,1.7421,1.9934,2.3106,2.5306,2.6097
2.6060,2.5902,2.4784,2.2479,1.9588,1.6789,1.4531,1.3363,1.4398,1.8892,2.6501,3.4729,4.0635,4.3156,4.3448,4.3061,4.2646,4.1911,4.0306,3.7917,3.5381,3.3283,3.2112,3.2052,3.2264,3.1416,2.9320,2.6662,2.3937,2.1222,1.8321,1.5065,1.1728,0.9021,0.7466,0.7137,0.7944,0.9752,1.2092,1.4113,1.5124,1.5043,1.4280,1.3391,1.2918,1.3376,1.4947,1.6938,1.8262,1.8697
2.1608,2.1847,2.1413,1.9739,1.7308,1.5021,1.3617,1.3845,1.6575,2.2044,2.9356,3.7045,4.3184,4.6254,4.6525,4.5405,4.3865,4.2008,3.9740,3.7423,3.5631,3.4871,3.5580,3.7563,3.9107,3.8143,3.4650,2.9929,2.4944,2.0173,1.5912,1.2451,1.0066,0.8818,0.8446,0.8558,0.8862,0.9288,0.9852,1.0410,1.0714,1.0686,1.0460,1.0234,1.0230,1.0708,1.1755,1.2953,1.3711,1.3957
1.7890,1.8350,1.8523,1.7715,1.6144,1.4718,1.4352,1.5746,1.9079,2.3747,2.9152,3.4933,3.9944,4.2503,4.2194,4.0219,3.7863,3.5624,3.3612,3.2134,3.1691,3.2812,3.5853,4.0284,4.3749,4.3419,3.9243,3.3197,2.6781,2.0783,1.5841,1.2585,1.1302,1.1591,1.2591,1.3404,1.3301,1.2064,1.0260,0.8729,0.7847,0.7544,0.7658,0.8105,0.8918,1.0160,1.1660,1.2925,1.3619,1.3849
1.5656,1.6282,1.7021,1.7226,1.6807,1.6416,1.6886,1.8622,2.1247,2.4054,2.6920,2.9898,3.2184,3.2466,3.0663,2.8088,2.5937,2.4631,2.4119,2.4412,2.5845,2.8926,3.3962,4.0318,4.5421,4.5966,4.1713,3.5114,2.8137,2.1775,1.6848,1.4249,1.4403,1.6715,1.9838,2.2164,2.2101,1.8982,1.4065,0.9606,0.6916,0.5966,0.6256,0.7467,0.9528,1.2271,1.5023,1.6978,1.7978,1.8345
1.4339,1.5155,1.6508,1.7931,1.9065,1.9968,2.0967,2.2171,2.3261,2.3948,2.4355,2.4561,2.4051,2.2297,1.9771,1.7421,1.5810,1.5166,1.5674,1.7457,2.0555,2.5137,3.1324,3.8430,4.4046,4.5102,4.1319,3.5082,2.8427,2.2408,1.7979,1.6341,1.8243,2.3107,2.9138,3.3778,3.4186,2.9037,2.0444,1.2489,0.7699,0.6059,0.6627,0.8830,1.2491,1.7114,2.1384,2.4198,2.5640,2.6235
1.3424,1.4488,1.6564,1.9427,2.2472,2.4851,2.6085,2.6260,2.5649,2.4440,2.2790,2.0781,1.8411,1.5875,1.3581,1.1770,1.0507,0.9965,1.0642,1.3073,1.7165,2.2506,2.8781,3.5182,3.9819,4.0674,3.7739,3.2771,2.7316,2.2291,1.8759,1.8292,2.2086,2.9627,3.8583,4.5350,4.5919,3.8568,2.6449,1.5470,0.9177,0.7339,0.8544,1.2033,1.7542,2.4213,3.0089,3.3782,3.5652,3.6465
