nan,nan,nan,nan,nan,nan,nan,nan,nan,2.1353,3.0270,4.2687,5.7553,7.2665,8.4959,9.0849,8.7975,7.7661,6.4155,5.1041,3.9698,3.0114,2.1875,1.4948,0.9985,0.7474,0.6929,0.7392,0.8022,0.8103,0.7128,0.5285,0.3479,0.2562,0.2893,0.4416,0.6748,0.9316,1.1771,1.4447,1.8236,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,1.0675,1.3644,1.8208,2.5246,3.5201,4.7452,6.0608,7.2780,8.1156,8.2384,7.5408,6.3390,5.0651,3.9376,2.9843,2.1733,1.5054,1.0386,0.8161,0.7998,0.9027,1.0298,1.0776,0.9673,0.7282,0.4907,0.3696,0.4049,0.5742,0.8171,1.0759,1.3478,1.6993,2.2009,2.8500,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,0.7872,0.9452,1.1836,1.5420,2.0773,2.8195,3.7211,4.6974,5.6719,6.5120,6.9469,6.6954,5.8207,4.7172,3.6883,2.8149,2.0896,1.5220,1.1552,1.0226,1.1110,1.3591,1.6443,1.7740,1.6030,1.2076,0.8167,0.5990,0.5932,0.7460,0.9745,1.2351,1.5585,2.0114,2.6147,3.3265,4.1065,4.9616,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,0.6890,0.7396,0.8465,1.0253,1.3006,1.7045,2.2436,2.8635,3.4990,4.1271,4.7102,5.1038,5.0762,4.5567,3.7837,3.0241,2.3784,1.8655,1.5062,1.3312,1.3693,1.6411,2.1295,2.6776,2.9356,2.6512,1.9983,1.3514,0.9459,0.8244,0.9108,1.1119,1.3987,1.8079,2.3689,3.0532,3.8142,4.6456,5.5924,6.7317,nan,nan,nan,nan,nan
nan,nan,nan,nan,0.7582,0.7277,0.7319,0.7848,0.9005,1.0957,1.3868,1.7640,2.1659,2.5343,2.8654,3.1538,3.3294,3.2782,2.9776,2.5590,2.1556,1.8161,1.5623,1.4251,1.4373,1.6303,2.0440,2.6990,3.4534,3.8783,3.6122,2.8316,1.9789,1.3598,1.0713,1.0605,1.2409,1.5837,2.0980,2.7595,3.5095,4.3190,5.2180,6.2791,7.5837,9.1679,nan,nan,nan,nan
nan,nan,nan,0.9355,0.8646,0.8047,0.7688,0.7717,0.8271,0.9478,1.1407,1.3886,1.6343,1.8301,1.9792,2.0839,2.1086,2.0161,1.8368,1.6515,1.5007,1.3825,1.3076,1.3111,1.4294,1.6917,2.1302,2.7666,3.5048,4.0065,3.9227,3.2935,2.4479,1.7147,1.2886,1.1920,1.3658,1.7742,2.3878,3.1351,3.9429,4.8026,5.7711,6.9291,8.3238,9.8933,nan,nan,nan,nan
nan,nan,1.1720,1.0804,0.9942,0.9152,0.8517,0.8168,0.8249,0.8871,1.0044,1.1538,1.2878,1.3783,1.4373,1.4692,1.4506,1.3675,1.2551,1.1694,1.1279,1.1141,1.1273,1.1975,1.3592,1.6337,2.0354,2.5708,3.1750,3.6351,3.7012,3.3131,2.6268,1.9174,1.4423,1.3002,1.4700,1.9199,2.6006,3.4120,4.2670,5.1619,6.1584,7.3132,8.5983,9.8461,10.7935,nan,nan,nan
nan,nan,1.3798,1.2586,1.1530,1.0617,0.9865,0.9346,0.9187,0.9493,1.0221,1.1050,1.1535,1.1608,1.1587,1.1591,1.1373,1.0722,0.9860,0.9272,0.9185,0.9451,0.9966,1.0929,1.2625,1.5177,1.8575,2.2743,2.7263,3.0959,3.2297,3.0389,2.5584,1.9724,1.5313,1.3765,1.5258,1.9662,2.6542,3.4836,4.3475,5.2207,6.1405,7.1171,8.0587,8.7766,9.0770,8.8288,nan,nan
nan,1.8281,1.6525,1.4986,1.3699,1.2698,1.1981,1.1543,1.1421,1.1650,1.2095,1.2361,1.2073,1.1335,1.0631,1.0243,0.9941,0.9359,0.8556,0.7981,0.7946,0.8350,0.9004,0.9991,1.1518,1.3639,1.6246,1.9206,2.2305,2.5006,2.6480,2.5969,2.3239,1.9169,1.5612,1.4065,1.5093,1.8824,2.4999,3.2657,4.0564,4.8116,5.5351,6.2092,6.7389,6.9862,6.8451,6.2709,5.2522,nan
2.3285,2.1640,1.9893,1.8234,1.6836,1.5850,1.5318,1.5157,1.5213,1.5300,1.5176,1.4592,1.3468,1.2026,1.0725,0.9917,0.9459,0.8897,0.8126,0.7530,0.7461,0.7857,0.8479,0.9290,1.0420,1.1894,1.3593,1.5414,1.7305,1.9112,2.0474,2.0909,2.0002,1.7831,1.5328,1.3796,1.4132,1.6724,2.1464,2.7549,3.3776,3.9422,4.4404,4.8504,5.0931,5.0757,4.7501,4.1281,3.2542,2.3235
