nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0030,0.0051,0.0094,0.0209,0.0491,0.1072,0.1995,0.3000,0.3545,0.3297,0.2468,0.1556,0.0962,0.0847,0.1161,0.1710,0.2361,0.3307,0.5160,0.8957,1.5870,2.5890,3.6225,4.2516,4.2229,3.5918,2.6245,1.6441,0.8814,0.4048,0.1621,0.0626,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,0.0031,0.0043,0.0065,0.0099,0.0148,0.0244,0.0460,0.0911,0.1683,0.2631,0.3260,0.3140,0.2404,0.1565,0.1071,0.1123,0.1666,0.2431,0.3174,0.4046,0.5722,0.9333,1.5998,2.5355,3.4283,3.8684,3.6684,2.9463,2.0073,1.1607,0.5727,0.2474,0.1045,0.0561,0.0420,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,0.0080,0.0077,0.0095,0.0136,0.0200,0.0277,0.0383,0.0569,0.0925,0.1538,0.2347,0.2967,0.2927,0.2284,0.1576,0.1313,0.1746,0.2811,0.4116,0.5202,0.6023,0.7221,1.0031,1.5531,2.2995,2.9291,3.1186,2.7776,2.0744,1.3042,0.6994,0.3323,0.1574,0.0941,0.0771,0.0716,0.0669,0.0623,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,0.0217,0.0180,0.0168,0.0191,0.0261,0.0378,0.0519,0.0670,0.0876,0.1223,0.1782,0.2489,0.3001,0.2882,0.2229,0.1657,0.1716,0.2651,0.4359,0.6392,0.8144,0.9222,0.9807,1.0845,1.3499,1.7518,2.0760,2.1096,1.8040,1.2944,0.7933,0.4371,0.2423,0.1606,0.1351,0.1271,0.1206,0.1142,0.1110,0.1144,nan,nan,nan,nan,nan
nan,nan,nan,nan,0.0543,0.0461,0.0395,0.0367,0.0397,0.0510,0.0711,0.0952,0.1170,0.1399,0.1756,0.2312,0.2962,0.3335,0.3060,0.2352,0.1891,0.2204,0.3459,0.5502,0.7911,1.0123,1.1579,1.1906,1.1269,1.0656,1.0965,1.1716,1.1681,1.0228,0.7827,0.5482,0.3821,0.2895,0.2467,0.2269,0.2136,0.2030,0.1987,0.2053,0.2251,0.2549,nan,nan,nan,nan
nan,nan,nan,0.1069,0.1010,0.0916,0.0829,0.0791,0.0843,0.1028,0.1353,0.1729,0.1994,0.2162,0.2422,0.2871,0.3367,0.3552,0.3183,0.2533,0.2203,0.2642,0.3967,0.5997,0.8348,1.0534,1.2020,1.2258,1.0990,0.8853,0.7138,0.6433,0.6359,0.6347,0.6105,0.5648,0.5101,0.4572,0.4121,0.3768,0.3531,0.3449,0.3569,0.3909,0.4405,0.4880,nan,nan,nan,nan
nan,nan,0.1477,0.1639,0.1702,0.1683,0.1637,0.1642,0.1777,0.2104,0.2613,0.3118,0.3316,0.3204,0.3109,0.3214,0.3401,0.3397,0.3075,0.2638,0.2490,0.2986,0.4259,0.6146,0.8270,1.0183,1.1416,1.1492,1.0181,0.7982,0.5953,0.4851,0.4860,0.5728,0.6810,0.7475,0.7515,0.7072,0.6441,0.5915,0.5696,0.5873,0.6442,0.7258,0.8000,0.8263,0.7795,nan,nan,nan
nan,nan,0.1854,0.2248,0.2572,0.2800,0.2970,0.3181,0.3551,0.4152,0.4883,0.5382,0.5234,0.4517,0.3749,0.3278,0.3080,0.2968,0.2823,0.2679,0.2721,0.3230,0.4398,0.6113,0.7985,0.9557,1.0422,1.0276,0.9094,0.7329,0.5675,0.4714,0.4904,0.6319,0.8225,0.9628,1.0084,0.9739,0.9063,0.8619,0.8799,0.9678,1.0998,1.2190,1.2578,1.1777,0.9941,0.7565,nan,nan
nan,0.1608,0.2161,0.2815,0.3512,0.4192,0.4847,0.5553,0.6416,0.7418,0.8248,0.8364,0.7486,0.5943,0.4382,0.3263,0.2688,0.2526,0.2584,0.2706,0.2884,0.3334,0.4329,0.5836,0.7458,0.8697,0.9208,0.8886,0.7904,0.6629,0.5421,0.4679,0.4998,0.6710,0.9140,1.1088,1.1927,1.1805,1.1368,1.1443,1.2558,1.4544,1.6528,1.7383,1.6446,1.3920,1.0590,0.7256,0.4373,nan
0.1596,0.1816,0.2404,0.3295,0.4421,0.5703,0.7086,0.8566,1.0121,1.1485,1.2058,1.1361,0.9559,0.7263,0.5077,0.3430,0.2522,0.2290,0.2478,0.2768,0.2984,0.3271,0.3967,0.5162,0.6500,0.7462,0.7748,0.7403,0.6689,0.5830,0.4948,0.4331,0.4621,0.6312,0.8900,1.1159,1.2326,1.2527,1.2558,1.3467,1.5770,1.8740,2.0739,2.0462,1.7836,1.3827,0.9618,0.6011,0.3287,0.1527
0.2662,0.2326,0.2678,0.3674,0.5204,0.7153,0.9374,1.1708,1.3886,1.5333,1.5320,1.3717,1.1157,0.8365,0.5810,0.3828,0.2667,0.2348,0.2592,0.2957,0.3120,0.3146,0.3399,0.4112,0.5075,0.5821,0.6066,0.5881,0.5482,0.4946,0.4272,0.3700,0.3819,0.5136,0.7376,0.9544,1.0864,1.1374,1.1881,1.3488,1.6527,1.9765,2.1246,1.9938,1.6345,1.1837,0.7657,0.4438,0.2247,0.0978
0.4773,0.3489,0.3181,0.3966,0.5709,0.8246,1.1270,1.4334,1.6852,1.8069,1.7419,1.5180,1.2213,0.9194,0.6477,0.4335,0.3051,0.2715,0.3031,0.3445,0.3514,0.3233,0.2975,0.3089,0.3569,0.4101,0.4413,0.4489,0.4403,0.4119,0.3605,0.3078,0.2999,0.3752,0.5240,0.6857,0.8006,0.8631,0.9368,1.1115,1.3986,1.6783,1.7851,1.6396,1.2998,0.9000,0.5525,0.3031,0.1456,0.0612
0.8205,0.5643,0.4209,0.4300,0.5786,0.8533,1.2097,1.5659,1.8275,1.9173,1.8122,1.5667,1.2648,0.9632,0.6919,0.4792,0.3579,0.3400,0.3900,0.4399,0.4359,0.3761,0.3012,0.2547,0.2530,0.2829,0.3223,0.3572,0.3776,0.3710,0.3343,0.2868,0.2612,0.2829,0.3519,0.4406,0.5154,0.5712,0.6485,0.7976,1.0126,1.2149,1.2973,1.1949,0.9403,0.6380,0.3808,0.2031,0.0955,0.0403
1.2975,0.8874,0.5943,0.4903,0.5539,0.7775,1.1232,1.4899,1.7511,1.8288,1.7260,1.5030,1.2271,0.9449,0.6906,0.5014,0.4135,0.4344,0.5171,0.5799,0.5637,0.4709,0.3514,0.2577,0.2173,0.2319,0.2865,0.3544,0.4057,0.4187,0.3901,0.3368,0.2855,0.2581,0.2624,0.2914,0.3336,0.3916,0.4837,0.6166,0.7681,0.8948,0.9422,0.8687,0.6867,0.4667,0.2788,0.1495,0.0714,0.0313
1.8821,1.3001,0.8317,0.5915,0.5359,0.6467,0.9001,1.2134,1.4565,1.5445,1.4816,1.3145,1.0866,0.8388,0.6199,0.4787,0.4475,0.5226,0.6461,0.7260,0.6999,0.5779,0.4221,0.2955,0.2350,0.2549,0.3438,0.4573,0.5433,0.5713,0.5377,0.4595,0.3659,0.2857,0.2367,0.2256,0.2581,0.3433,0.4749,0.6208,0.7453,0.8228,0.8313,0.7533,0.5987,0.4153,0.2555,0.1418,0.0699,0.0319
2.5201,1.7702,1.1146,0.7320,0.5584,0.5482,0.6744,0.8821,1.0710,1.1590,1.1373,1.0296,0.8561,0.6573,0.4950,0.4156,0.4366,0.5509,0.7054,0.8036,0.7787,0.6453,0.4732,0.3337,0.2748,0.3228,0.4626,0.6262,0.7438,0.7818,0.7360,0.6230,0.4785,0.3437,0.2490,0.2134,0.2573,0.3920,0.5851,0.7713,0.9014,0.9569,0.9340,0.8347,0.6730,0.4839,0.3102,0.1772,0.0880,0.0403
3.1526,2.2729,1.4375,0.9117,0.6316,0.5243,0.5440,0.6453,0.7588,0.8199,0.8130,0.7480,0.6324,0.5014,0.4051,0.3696,0.4037,0.5112,0.6598,0.7624,0.7494,0.6318,0.4735,0.3448,0.3053,0.3920,0.5794,0.7803,0.9208,0.9682,0.9142,0.7721,0.5840,0.4057,0.2808,0.2380,0.3094,0.5086,0.7807,1.0275,1.1808,1.2231,1.1681,1.0385,0.8540,0.6367,0.4210,0.2420,0.1175,0.0524
