nan,nan,nan,nan,nan,nan,nan,nan,nan,8.4053,11.1837,13.1961,13.9579,13.3929,11.6240,8.9027,5.7973,3.1246,1.3975,0.5504,0.2540,0.2408,0.3753,0.5928,0.8499,1.1272,1.4282,1.7390,1.9974,2.1053,1.9914,1.6854,1.3028,0.9519,0.6973,0.5743,0.5903,0.7141,0.8805,1.0136,1.0633,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,2.5220,4.2223,6.6547,9.4129,11.6758,12.7822,12.6171,11.3481,9.1373,6.3075,3.5785,1.6647,0.6989,0.3870,0.4292,0.6513,0.9443,1.2246,1.4681,1.7064,1.9505,2.1407,2.1706,1.9779,1.6231,1.2415,0.9392,0.7691,0.7443,0.8365,0.9809,1.1013,1.1441,1.1051,1.0218,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,1.3125,1.9816,3.2175,5.1728,7.6518,9.9097,11.1487,11.1985,10.3215,8.7025,6.4410,3.9501,1.9843,0.9596,0.7173,0.9455,1.4058,1.8948,2.2445,2.4128,2.4783,2.5102,2.4758,2.2843,1.9254,1.5230,1.2171,1.0707,1.0792,1.1893,1.3195,1.3950,1.3784,1.2817,1.1510,1.0273,0.9236,0.8333,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,1.2149,1.3536,1.7719,2.6329,4.1143,6.1728,8.2116,9.3716,9.4090,8.6617,7.4010,5.6869,3.7106,2.0531,1.2352,1.2508,1.8150,2.6205,3.3598,3.7962,3.8761,3.6991,3.3729,2.9212,2.3551,1.8100,1.4746,1.4216,1.5954,1.8612,2.0607,2.0910,1.9442,1.6892,1.4223,1.2071,1.0524,0.9367,0.8366,0.7349,nan,nan,nan,nan,nan
nan,nan,nan,nan,1.7842,1.6400,1.6427,1.8737,2.4537,3.5305,5.1245,6.7933,7.7193,7.6091,6.8309,5.7142,4.3588,2.9124,1.7882,1.3906,1.7455,2.6004,3.6137,4.4401,4.8521,4.8201,4.4444,3.8282,3.0351,2.2101,1.6518,1.5830,1.9843,2.6364,3.1937,3.3719,3.1207,2.5941,2.0212,1.5714,1.2817,1.1030,0.9765,0.8637,0.7443,0.6119,nan,nan,nan,nan
nan,nan,nan,2.7712,2.5560,2.3488,2.2444,2.3345,2.7193,3.5014,4.6821,5.9018,6.4614,6.1079,5.2299,4.1752,3.0736,2.0692,1.4341,1.3981,1.9616,2.9133,3.9265,4.6761,4.9742,4.8170,4.3066,3.5513,2.6589,1.8517,1.4746,1.7587,2.6626,3.8220,4.6438,4.7279,4.1292,3.1977,2.3223,1.7195,1.3777,1.1856,1.0504,0.9217,0.7777,0.6181,nan,nan,nan,nan
nan,nan,3.4962,3.5996,3.5426,3.3876,3.2471,3.2484,3.5069,4.0957,4.9498,5.6964,5.7681,5.0701,4.0485,3.0449,2.1719,1.5148,1.2061,1.3532,1.9511,2.8401,3.7375,4.3550,4.5359,4.2884,3.7142,2.9340,2.0950,1.4384,1.2674,1.8012,3.0303,4.5169,5.4980,5.5135,4.7059,3.5470,2.5137,1.8435,1.4915,1.3045,1.1650,1.0144,0.8350,0.6411,0.4644,nan,nan,nan
nan,nan,3.9536,4.3551,4.6062,4.6886,4.6694,4.6851,4.8800,5.3163,5.8518,6.0726,5.5775,4.4949,3.3275,2.3855,1.7182,1.3104,1.1833,1.3789,1.8940,2.6165,3.3257,3.7837,3.8580,3.5597,2.9860,2.2652,1.5582,1.0769,1.0476,1.6608,2.9454,4.4800,5.4745,5.4750,4.6614,3.5244,2.5327,1.9124,1.6085,1.4520,1.3115,1.1277,0.9004,0.6711,0.4928,0.4154,nan,nan
nan,3.5547,4.2272,4.9067,5.5269,6.0017,6.3023,6.4949,6.6939,6.9272,7.0022,6.5806,5.5472,4.2110,3.0118,2.1772,1.6923,1.4608,1.4349,1.6178,1.9932,2.4761,2.9184,3.1613,3.1141,2.7898,2.2730,1.6805,1.1506,0.8339,0.8777,1.4306,2.5437,3.8852,4.7702,4.7902,4.1105,3.1706,2.3719,1.9019,1.7017,1.5974,1.4516,1.2217,0.9458,0.6991,0.5518,0.5597,0.7793,nan
2.7670,3.4519,4.2451,5.1361,6.0817,6.9704,7.6862,8.1698,8.4103,8.3451,7.8150,6.7525,5.3643,3.9998,2.9388,2.2984,2.0188,1.9599,2.0354,2.2173,2.4563,2.6627,2.7541,2.6881,2.4632,2.1131,1.6958,1.2828,0.9521,0.7803,0.8475,1.2543,2.0518,3.0313,3.7064,3.7495,3.2692,2.6070,2.0745,1.8112,1.7456,1.6968,1.5365,1.2632,0.9632,0.7392,0.6685,0.8046,1.1928,1.7528
2.4171,3.0844,3.9195,4.9249,6.0853,7.2853,8.3461,9.0859,9.3447,8.9725,7.9338,6.4729,4.9833,3.7529,2.9305,2.5610,2.5546,2.7353,2.9801,3.2249,3.3755,3.3183,3.0204,2.5664,2.0901,1.6863,1.3843,1.1762,1.0486,1.0007,1.0577,1.2748,1.6919,2.2173,2.5951,2.6205,2.3388,1.9690,1.7257,1.6905,1.7610,1.7534,1.5760,1.2812,0.9951,0.8361,0.8810,1.1707,1.7264,2.4031
1.9892,2.5267,3.2686,4.2338,5.4365,6.7718,8.0173,8.8986,9.1602,8.6321,7.3988,5.8680,4.4720,3.4426,2.8790,2.8117,3.1385,3.6381,4.1254,4.4814,4.5720,4.2831,3.6358,2.8160,2.0801,1.6087,1.4259,1.4350,1.5107,1.5676,1.5835,1.5870,1.6229,1.6961,1.7405,1.6818,1.5389,1.4293,1.4720,1.6631,1.8481,1.8618,1.6699,1.3713,1.1200,1.0461,1.2202,1.6612,2.3575,3.1107
1.6737,2.0101,2.5299,3.2704,4.2804,5.5048,6.7319,7.6453,7.9531,7.5016,6.4069,5.0641,3.8727,3.0552,2.7269,2.9444,3.6133,4.4611,5.2092,5.6634,5.6745,5.1774,4.2691,3.2044,2.3060,1.8223,1.7946,2.0485,2.3358,2.4800,2.4208,2.1921,1.8802,1.5730,1.3204,1.1400,1.0643,1.1600,1.4523,1.8272,2.0889,2.1159,1.9207,1.6249,1.4040,1.4053,1.6920,2.2538,3.0428,3.8237
1.5976,1.7387,2.0069,2.4359,3.0770,3.9380,4.9006,5.7065,6.0809,5.8723,5.1341,4.1348,3.2066,2.5929,2.4531,2.8795,3.8014,4.9251,5.8832,6.3999,6.3297,5.6812,4.6297,3.4730,2.5562,2.1651,2.3595,2.8932,3.3974,3.6138,3.4601,3.0007,2.3868,1.7776,1.2876,0.9880,0.9385,1.1798,1.6425,2.1228,2.4288,2.4851,2.3196,2.0462,1.8498,1.9005,2.2607,2.8902,3.7070,4.4582
1.7883,1.7697,1.8295,1.9926,2.2759,2.6980,3.2315,3.7557,4.0943,4.1125,3.7728,3.1757,2.5510,2.1495,2.1528,2.6468,3.5896,4.7610,5.7942,6.3482,6.2647,5.5984,4.5682,3.4830,2.6865,2.4837,2.9404,3.7422,4.4340,4.7164,4.4972,3.8606,3.0096,2.1631,1.4840,1.0824,1.0413,1.3694,1.9141,2.4337,2.7672,2.8691,2.7629,2.5386,2.3709,2.4457,2.8304,3.4638,4.2337,4.8895
2.2062,2.0564,1.9481,1.9193,1.9567,2.0547,2.2076,2.3910,2.5575,2.6503,2.6078,2.4084,2.1543,2.0324,2.1636,2.5659,3.2244,4.0778,4.9099,5.4032,5.3739,4.8608,4.0504,3.2056,2.6438,2.6739,3.3491,4.3151,5.1155,5.4653,5.2573,4.5522,3.5627,2.5540,1.7399,1.2687,1.2352,1.6085,2.1799,2.7045,3.0500,3.1848,3.1252,2.9423,2.7955,2.8717,3.2397,3.8208,4.4725,4.9702
2.7685,2.5189,2.2643,2.0793,1.9488,1.8495,1.7657,1.6992,1.6823,1.7621,1.9480,2.1876,2.4185,2.6268,2.8255,3.0237,3.2407,3.5078,3.8033,3.9992,3.9667,3.6845,3.2251,2.7398,2.4797,2.7191,3.4764,4.4292,5.2191,5.6137,5.4807,4.8194,3.8095,2.7413,1.8777,1.3988,1.3963,1.8042,2.3855,2.9005,3.2307,3.3494,3.2746,3.0807,2.9263,2.9890,3.3231,3.8233,4.3170,4.6333
3.3581,3.0661,2.6983,2.3684,2.0926,1.8534,1.6289,1.4248,1.3155,1.4529,1.9676,2.7729,3.5021,3.8940,4.0077,3.9628,3.7937,3.5000,3.1447,2.8568,2.6832,2.5636,2.4409,2.3372,2.3863,2.7481,3.4003,4.1446,4.7812,5.1415,5.0730,4.5101,3.5777,2.5650,1.7604,1.3498,1.4072,1.8500,2.4386,2.9328,3.2125,3.2573,3.1064,2.8622,2.6886,2.7394,3.0414,3.4609,3.8081,3.9789
3.8093,3.5607,3.1534,2.7043,2.2880,1.9226,1.5986,1.3332,1.2477,1.6100,2.6368,4.0406,5.0801,5.4423,5.3691,5.0885,4.6274,3.9220,3.0436,2.3091,1.9546,1.9253,2.0837,2.3460,2.6659,3.0051,3.3510,3.7097,4.0459,4.2517,4.1729,3.7027,2.9129,2.0596,1.4085,1.1131,1.2229,1.6670,2.2339,2.6877,2.9012,2.8656,2.6513,2.3829,2.2097,2.2508,2.5143,2.8574,3.0954,3.1786
3.9227,3.7941,3.4547,2.9558,2.4291,1.9574,1.5677,1.3071,1.3626,2.0952,3.6603,5.4787,6.6525,6.9433,6.6945,6.1924,5.4672,4.4361,3.2090,2.2254,1.8165,1.9373,2.4142,3.0519,3.5507,3.6783,3.5441,3.3877,3.3068,3.2461,3.0712,2.6686,2.0670,1.4496,1.0034,0.8236,0.9419,1.3197,1.8029,2.1877,2.3506,2.2880,2.0794,1.8400,1.6860,1.7060,1.9057,2.1615,2.3173,2.3549
3.6104,3.6090,3.4090,2.9573,2.3992,1.8851,1.4947,1.3184,1.5916,2.6475,4.4640,6.4080,7.6996,8.0613,7.7502,7.0630,6.0694,4.7481,3.3331,2.3487,2.1007,2.5122,3.3714,4.3411,4.8791,4.6709,4.0087,3.3201,2.7920,2.4164,2.1000,1.7522,1.3630,1.0078,0.7626,0.6649,0.7396,0.9867,1.3241,1.6081,1.7350,1.6943,1.5439,1.3672,1.2449,1.2406,1.3629,1.5237,1.6133,1.6278
3.0740,3.1381,3.0592,2.7150,2.2180,1.7528,1.4440,1.4115,1.8581,2.9527,4.5806,6.3428,7.6966,8.2481,8.0186,7.2418,6.0590,4.5889,3.2158,2.4617,2.5147,3.2367,4.3809,5.5317,6.0458,5.5859,4.5462,3.4679,2.5955,1.9626,1.5284,1.2411,1.0585,0.9446,0.8672,0.8106,0.7911,0.8447,0.9735,1.1153,1.1958,1.1876,1.1128,1.0179,0.9546,0.9659,1.0545,1.1565,1.2055,1.2090
2.6285,2.7092,2.7063,2.4836,2.1061,1.7542,1.5717,1.6659,2.1288,2.9711,4.1123,5.3941,6.4906,7.0064,6.8098,6.0707,4.9917,3.7702,2.7760,2.4038,2.7365,3.6203,4.8369,6.0184,6.5548,6.0624,4.9064,3.6741,2.6483,1.8925,1.4141,1.2086,1.2260,1.3502,1.4494,1.4334,1.2802,1.0588,0.8874,0.8197,0.8178,0.8279,0.8311,0.8429,0.8958,1.0116,1.1616,1.2726,1.3095,1.3059
2.3525,2.4485,2.5227,2.4531,2.2570,2.0710,2.0159,2.1450,2.4553,2.9154,3.5082,4.1763,4.7089,4.8284,4.4872,3.8830,3.1977,2.5427,2.1058,2.1188,2.6310,3.5357,4.6879,5.8145,6.3970,6.0298,4.9791,3.8024,2.7949,2.0411,1.5922,1.5039,1.7567,2.1914,2.5691,2.6682,2.3690,1.7710,1.1695,0.7949,0.6601,0.6728,0.7686,0.9391,1.1994,1.5249,1.8090,1.9522,1.9720,1.9517
2.1442,2.2703,2.4522,2.6060,2.7058,2.7787,2.8382,2.8774,2.9099,2.9726,3.0908,3.2227,3.2260,2.9840,2.5711,2.1438,1.7833,1.5237,1.4534,1.7050,2.3033,3.1729,4.2176,5.2323,5.8041,5.5881,4.7628,3.7799,2.9041,2.2338,1.8675,1.9396,2.4963,3.3605,4.1647,4.4870,4.0452,2.9734,1.8135,1.0381,0.7305,0.7495,0.9807,1.3965,1.9832,2.6191,3.0633,3.2008,3.1529,3.0854
