birth,death
0.000000000000000000e+00,1.934390311362221837e-04
0.000000000000000000e+00,3.137325693387538195e-04
0.000000000000000000e+00,3.375387459527701139e-04
0.000000000000000000e+00,4.169062885921448469e-04
0.000000000000000000e+00,5.313759320415556431e-04
0.000000000000000000e+00,7.073132437653839588e-04
0.000000000000000000e+00,8.261647308245301247e-04
0.000000000000000000e+00,8.335888851433992386e-04
0.000000000000000000e+00,8.680701139383018017e-04
0.000000000000000000e+00,9.682983509264886379e-04
0.000000000000000000e+00,9.801648557186126709e-04
0.000000000000000000e+00,1.024741446599364281e-03
0.000000000000000000e+00,1.041549025103449821e-03
0.000000000000000000e+00,1.109199016354978085e-03
0.000000000000000000e+00,1.139280851930379868e-03
0.000000000000000000e+00,1.180761028081178665e-03
0.000000000000000000e+00,1.227371860295534134e-03
0.000000000000000000e+00,1.334014697931706905e-03
0.000000000000000000e+00,1.341741532087326050e-03
0.000000000000000000e+00,1.359500573016703129e-03
0.000000000000000000e+00,1.431442564353346825e-03
0.000000000000000000e+00,1.444986555725336075e-03
0.000000000000000000e+00,1.494636875577270985e-03
0.000000000000000000e+00,1.584768411703407764e-03
0.000000000000000000e+00,1.757715595886111259e-03
0.000000000000000000e+00,1.837570336647331715e-03
0.000000000000000000e+00,1.891661901026964188e-03
0.000000000000000000e+00,1.977775013074278831e-03
0.000000000000000000e+00,2.221852540969848633e-03
0.000000000000000000e+00,2.259804168716073036e-03
0.000000000000000000e+00,2.330099465325474739e-03
0.000000000000000000e+00,2.428225241601467133e-03
0.000000000000000000e+00,2.561343368142843246e-03
0.000000000000000000e+00,2.662388840690255165e-03
0.000000000000000000e+00,2.702243626117706299e-03
0.000000000000000000e+00,2.757082926109433174e-03
0.000000000000000000e+00,2.836031373590230942e-03
0.000000000000000000e+00,2.892433665692806244e-03
0.000000000000000000e+00,2.902524778619408607e-03
0.000000000000000000e+00,2.917332807555794716e-03
0.000000000000000000e+00,2.982557285577058792e-03
0.000000000000000000e+00,2.991543849930167198e-03
0.000000000000000000e+00,3.001665463671088219e-03
0.000000000000000000e+00,3.082745010033249855e-03
0.000000000000000000e+00,3.117791144177317619e-03
0.000000000000000000e+00,3.131855977699160576e-03
0.000000000000000000e+00,3.140388056635856628e-03
0.000000000000000000e+00,3.252515802159905434e-03
0.000000000000000000e+00,3.270688233897089958e-03
0.000000000000000000e+00,3.312651999294757843e-03
0.000000000000000000e+00,3.384257433935999870e-03
0.000000000000000000e+00,3.403955604881048203e-03
0.000000000000000000e+00,3.542708465829491615e-03
0.000000000000000000e+00,3.571120789274573326e-03
0.000000000000000000e+00,3.619452007114887238e-03
0.000000000000000000e+00,3.626635298132896423e-03
0.000000000000000000e+00,3.794845892116427422e-03
0.000000000000000000e+00,3.852229565382003784e-03
0.000000000000000000e+00,3.868562402203679085e-03
0.000000000000000000e+00,3.871383145451545715e-03
0.000000000000000000e+00,3.967758733779191971e-03
0.000000000000000000e+00,4.018952138721942902e-03
0.000000000000000000e+00,4.094730596989393234e-03
0.000000000000000000e+00,4.191818647086620331e-03
0.000000000000000000e+00,4.242443479597568512e-03
0.000000000000000000e+00,4.335770383477210999e-03
0.000000000000000000e+00,4.402220249176025391e-03
0.000000000000000000e+00,4.493439104408025742e-03
0.000000000000000000e+00,4.523067735135555267e-03
0.000000000000000000e+00,4.616827704012393951e-03
0.000000000000000000e+00,4.617746919393539429e-03
0.000000000000000000e+00,4.739833530038595200e-03
0.000000000000000000e+00,4.770220257341861725e-03
0.000000000000000000e+00,4.895856138318777084e-03
0.000000000000000000e+00,5.068826954811811447e-03
0.000000000000000000e+00,5.157948005944490433e-03
0.000000000000000000e+00,5.214231554418802261e-03
0.000000000000000000e+00,5.450062453746795654e-03
0.000000000000000000e+00,5.524917505681514740e-03
0.000000000000000000e+00,5.703768227249383926e-03
0.000000000000000000e+00,5.782310850918292999e-03
0.000000000000000000e+00,5.828020628541707993e-03
0.000000000000000000e+00,5.983932875096797943e-03
0.000000000000000000e+00,6.018936168402433395e-03
0.000000000000000000e+00,6.056447513401508331e-03
0.000000000000000000e+00,6.293227430433034897e-03
0.000000000000000000e+00,6.381995510309934616e-03
0.000000000000000000e+00,6.396141368895769119e-03
0.000000000000000000e+00,6.399801000952720642e-03
0.000000000000000000e+00,6.463394965976476669e-03
0.000000000000000000e+00,6.828607991337776184e-03
0.000000000000000000e+00,7.059869356453418732e-03
0.000000000000000000e+00,7.063334807753562927e-03
0.000000000000000000e+00,7.205273490399122238e-03
0.000000000000000000e+00,7.209592964500188828e-03
0.000000000000000000e+00,7.277482189238071442e-03
0.000000000000000000e+00,7.377767004072666168e-03
0.000000000000000000e+00,7.433363236486911774e-03
0.000000000000000000e+00,7.475275080651044846e-03
0.000000000000000000e+00,7.504337932914495468e-03
0.000000000000000000e+00,7.524372078478336334e-03
0.000000000000000000e+00,7.695266976952552795e-03
0.000000000000000000e+00,7.743161171674728394e-03
0.000000000000000000e+00,8.552502840757369995e-03
0.000000000000000000e+00,8.584158495068550110e-03
0.000000000000000000e+00,8.696571923792362213e-03
0.000000000000000000e+00,9.083960205316543579e-03
0.000000000000000000e+00,9.236229583621025085e-03
0.000000000000000000e+00,9.409945458173751831e-03
0.000000000000000000e+00,9.436769410967826843e-03
0.000000000000000000e+00,9.451827034354209900e-03
0.000000000000000000e+00,9.508993476629257202e-03
0.000000000000000000e+00,9.879732504487037659e-03
