birth,death
0.000000000000000000e+00,7.662766426801681519e-02
0.000000000000000000e+00,1.212348267436027527e-01
0.000000000000000000e+00,1.212348788976669312e-01
0.000000000000000000e+00,1.212349161505699158e-01
0.000000000000000000e+00,2.761249840259552002e-01
0.000000000000000000e+00,2.761250734329223633e-01
0.000000000000000000e+00,2.761250734329223633e-01
0.000000000000000000e+00,2.761250734329223633e-01
0.000000000000000000e+00,2.761252224445343018e-01
0.000000000000000000e+00,3.253247141838073730e-01
0.000000000000000000e+00,4.467886686325073242e-01
0.000000000000000000e+00,4.602033197879791260e-01
0.000000000000000000e+00,4.831614494323730469e-01
0.000000000000000000e+00,5.539286136627197266e-01
0.000000000000000000e+00,5.539286136627197266e-01
0.000000000000000000e+00,5.539286732673645020e-01
0.000000000000000000e+00,5.539286732673645020e-01
0.000000000000000000e+00,5.539286732673645020e-01
0.000000000000000000e+00,5.539287328720092773e-01
0.000000000000000000e+00,5.764585137367248535e-01
0.000000000000000000e+00,5.933126807212829590e-01
0.000000000000000000e+00,6.030228734016418457e-01
0.000000000000000000e+00,6.030232906341552734e-01
0.000000000000000000e+00,6.390062570571899414e-01
0.000000000000000000e+00,6.390064954757690430e-01
0.000000000000000000e+00,6.390067934989929199e-01
0.000000000000000000e+00,6.390067934989929199e-01
0.000000000000000000e+00,6.390068531036376953e-01
0.000000000000000000e+00,6.390068531036376953e-01
0.000000000000000000e+00,6.390068531036376953e-01
0.000000000000000000e+00,6.503840088844299316e-01
0.000000000000000000e+00,6.694965362548828125e-01
0.000000000000000000e+00,6.835272908210754395e-01
0.000000000000000000e+00,6.840292811393737793e-01
0.000000000000000000e+00,6.840294003486633301e-01
0.000000000000000000e+00,6.840294003486633301e-01
0.000000000000000000e+00,6.840294003486633301e-01
0.000000000000000000e+00,6.913976073265075684e-01
0.000000000000000000e+00,6.913976073265075684e-01
0.000000000000000000e+00,6.913976073265075684e-01
0.000000000000000000e+00,6.913976073265075684e-01
0.000000000000000000e+00,6.913976669311523438e-01
0.000000000000000000e+00,6.961621046066284180e-01
0.000000000000000000e+00,7.028761506080627441e-01
0.000000000000000000e+00,7.102233171463012695e-01
0.000000000000000000e+00,7.102233171463012695e-01
0.000000000000000000e+00,7.102234363555908203e-01
0.000000000000000000e+00,7.111609578132629395e-01
0.000000000000000000e+00,7.387634515762329102e-01
0.000000000000000000e+00,7.682550549507141113e-01
0.000000000000000000e+00,7.761632204055786133e-01
0.000000000000000000e+00,7.824740409851074219e-01
0.000000000000000000e+00,7.824741005897521973e-01
0.000000000000000000e+00,7.830193638801574707e-01
0.000000000000000000e+00,7.830194830894470215e-01
0.000000000000000000e+00,7.830196022987365723e-01
0.000000000000000000e+00,7.830196619033813477e-01
0.000000000000000000e+00,7.830197215080261230e-01
0.000000000000000000e+00,7.830197215080261230e-01
0.000000000000000000e+00,7.830197215080261230e-01
0.000000000000000000e+00,7.928107976913452148e-01
0.000000000000000000e+00,7.958539724349975586e-01
0.000000000000000000e+00,8.437354564666748047e-01
0.000000000000000000e+00,8.442057967185974121e-01
0.000000000000000000e+00,8.568311929702758789e-01
0.000000000000000000e+00,8.579952120780944824e-01
0.000000000000000000e+00,8.579952716827392578e-01
0.000000000000000000e+00,8.610703945159912109e-01
0.000000000000000000e+00,8.892834186553955078e-01
0.000000000000000000e+00,8.892838954925537109e-01
0.000000000000000000e+00,9.037483930587768555e-01
0.000000000000000000e+00,9.179431200027465820e-01
0.000000000000000000e+00,9.775904417037963867e-01
0.000000000000000000e+00,9.778261184692382812e-01
0.000000000000000000e+00,1.031378269195556641e+00
0.000000000000000000e+00,1.082620382308959961e+00
0.000000000000000000e+00,1.096337795257568359e+00
0.000000000000000000e+00,1.110184550285339355e+00
0.000000000000000000e+00,1.110184550285339355e+00
0.000000000000000000e+00,1.131120800971984863e+00
0.000000000000000000e+00,1.138890027999877930e+00
0.000000000000000000e+00,1.158517360687255859e+00
0.000000000000000000e+00,1.158517599105834961e+00
0.000000000000000000e+00,1.158517718315124512e+00
0.000000000000000000e+00,1.161659836769104004e+00
0.000000000000000000e+00,1.161659836769104004e+00
0.000000000000000000e+00,1.161659955978393555e+00
0.000000000000000000e+00,1.178912281990051270e+00
0.000000000000000000e+00,1.203201532363891602e+00
0.000000000000000000e+00,1.235850572586059570e+00
0.000000000000000000e+00,1.235850691795349121e+00
0.000000000000000000e+00,1.331888556480407715e+00
0.000000000000000000e+00,1.358731269836425781e+00
0.000000000000000000e+00,1.358731389045715332e+00
0.000000000000000000e+00,1.401790618896484375e+00
0.000000000000000000e+00,1.414404392242431641e+00
0.000000000000000000e+00,1.516355156898498535e+00
0.000000000000000000e+00,1.616789817810058594e+00
0.000000000000000000e+00,1.617865324020385742e+00
0.000000000000000000e+00,1.631221771240234375e+00
0.000000000000000000e+00,1.699151158332824707e+00
0.000000000000000000e+00,1.724773526191711426e+00
0.000000000000000000e+00,1.734958171844482422e+00
0.000000000000000000e+00,1.940777420997619629e+00
0.000000000000000000e+00,2.328827857971191406e+00
0.000000000000000000e+00,inf
